deviceId,gpsTime,latitude,longitude,deviceSpeed,ignition,orientation,vehicleClass
DEVICE001,2024-03-15 00:15:00,23.131753,89.539151,1.1,1,321.2,1
DEVICE001,2024-03-15 00:17:00,23.131947,89.539308,4.0,1,251.3,3
DEVICE001,2024-03-15 00:17:00,23.131853,89.539277,0.8,1,33.4,1
DEVICE001,2024-03-15 00:35:00,23.131692,89.539199,1.0,1,79.4,6
DEVICE001,2024-03-15 00:37:00,23.131835,89.539314,2.1,1,181.9,1
DEVICE001,2024-03-15 01:10:00,23.131785,89.539377,1.9,1,337.2,1
DEVICE001,2024-03-15 01:36:00,23.131899,89.539363,1.0,1,278.3,1
DEVICE001,2024-03-15 01:54:00,23.131763,89.53933,1.7,1,165.4,1
DEVICE001,2024-03-15 01:54:00,23.131831,89.539348,1.2,1,228.8,3
DEVICE001,2024-03-15 01:59:00,23.131588,89.53924,1.9,1,222.7,3
DEVICE001,2024-03-15 02:08:00,23.131693,89.539271,1.2,1,210.5,6
DEVICE001,2024-03-15 02:13:00,23.13159,89.539436,3.3,1,165.2,3
DEVICE001,2024-03-15 02:14:00,23.131861,89.539156,3.4,1,82.5,1
DEVICE001,2024-03-15 02:25:00,23.13182,89.5393,1.8,1,177.7,1
DEVICE001,2024-03-15 02:40:00,23.131758,89.539241,0.9,1,136.6,6
DEVICE001,2024-03-15 02:51:00,23.131758,89.539369,1.6,1,339.4,3
DEVICE001,2024-03-15 02:55:00,23.131642,89.539173,0.5,1,152.0,1
DEVICE001,2024-03-15 03:07:00,23.13177,89.539307,1.5,1,260.0,3
DEVICE001,2024-03-15 03:24:00,23.131691,89.539316,3.0,1,199.2,1
DEVICE001,2024-03-15 03:32:00,23.131718,89.539298,3.8,1,225.1,6
DEVICE001,2024-03-15 03:38:00,23.131724,89.539343,1.0,1,343.3,6
DEVICE001,2024-03-15 03:43:00,23.131714,89.539188,3.6,1,96.1,3
DEVICE001,2024-03-15 03:58:00,23.131757,89.539318,0.0,1,334.5,3
DEVICE001,2024-03-15 04:03:00,23.131729,89.539284,1.2,1,263.5,1
DEVICE001,2024-03-15 04:16:00,23.131563,89.53914,2.6,1,334.4,2
DEVICE001,2024-03-15 04:45:00,23.13191,89.539296,1.6,1,157.7,6
DEVICE001,2024-03-15 04:48:00,23.131869,89.539405,2.7,1,340.9,2
DEVICE001,2024-03-15 05:07:00,23.131785,89.539309,1.2,1,199.4,6
DEVICE001,2024-03-15 05:08:00,23.131862,89.539212,3.6,1,87.5,4
DEVICE001,2024-03-15 05:14:00,23.131756,89.539267,0.0,1,24.3,1
DEVICE001,2024-03-15 05:29:00,23.131903,89.539349,4.3,1,232.6,1
DEVICE001,2024-03-15 05:51:00,23.131887,89.539383,2.0,1,127.5,4
DEVICE001,2024-03-15 05:55:00,23.131685,89.539293,1.7,1,174.7,6
DEVICE001,2024-03-15 06:05:00,23.133518,89.536846,42.8,1,174.8,2
DEVICE001,2024-03-15 06:08:00,23.131089,89.543031,27.7,1,332.4,4
DEVICE001,2024-03-15 06:46:00,23.134206,89.536413,25.2,1,68.5,4
DEVICE001,2024-03-15 06:51:00,23.130234,89.5388,40.8,1,359.7,1
DEVICE001,2024-03-15 06:55:00,23.136319,89.541058,27.0,1,354.7,3
DEVICE001,2024-03-15 06:59:00,23.12673,89.540763,38.5,1,344.6,6
DEVICE001,2024-03-15 07:03:00,23.137967,89.541629,37.4,1,181.0,6
DEVICE001,2024-03-15 07:10:00,23.122015,89.538821,16.7,1,24.7,1
DEVICE001,2024-03-15 07:29:00,23.129648,89.538416,33.6,1,193.5,6
DEVICE001,2024-03-15 07:38:00,23.138134,89.542906,16.2,1,203.5,3
DEVICE001,2024-03-15 07:42:00,23.120678,89.542355,34.4,1,336.9,1
DEVICE001,2024-03-15 07:43:00,23.121961,89.546075,40.9,1,205.1,6
DEVICE001,2024-03-15 07:45:00,23.133057,89.542557,29.6,1,21.1,6
DEVICE001,2024-03-15 07:59:00,23.129667,89.535499,22.8,1,95.6,2
DEVICE001,2024-03-15 08:00:00,23.120855,89.535403,35.0,1,37.3,2
DEVICE001,2024-03-15 08:08:00,23.139299,89.532303,43.0,1,133.0,2
DEVICE001,2024-03-15 08:13:00,23.133804,89.546093,36.5,1,95.0,4
DEVICE001,2024-03-15 08:16:00,23.136731,89.543255,18.5,1,98.0,6
DEVICE001,2024-03-15 08:28:00,23.129786,89.532714,40.0,1,355.4,6
DEVICE001,2024-03-15 09:00:00,23.14698,89.555671,20.0,1,58.2,4
DEVICE001,2024-03-15 09:23:00,23.136305,89.524079,53.9,1,323.6,2
DEVICE001,2024-03-15 09:34:00,23.127831,89.537056,2.2,1,45.9,3
DEVICE001,2024-03-15 09:35:00,23.128151,89.537845,42.3,1,340.2,2
DEVICE001,2024-03-15 09:57:00,23.14254,89.542861,54.5,1,298.6,1
DEVICE001,2024-03-15 10:15:00,23.125551,89.547451,40.0,1,314.9,6
DEVICE001,2024-03-15 10:22:00,23.133382,89.533783,18.3,1,8.5,2
DEVICE001,2024-03-15 10:24:00,23.135344,89.534896,52.3,1,294.0,4
DEVICE001,2024-03-15 10:25:00,23.145514,89.523578,19.7,1,100.5,6
DEVICE001,2024-03-15 10:25:00,23.135749,89.533333,40.8,1,9.9,3
DEVICE001,2024-03-15 10:47:00,23.146236,89.532478,9.3,1,351.4,2
DEVICE001,2024-03-15 10:51:00,23.131199,89.533285,40.2,1,57.3,1
DEVICE001,2024-03-15 10:56:00,23.139574,89.555723,24.7,1,281.7,4
DEVICE001,2024-03-15 11:02:00,23.15,89.539494,42.5,1,193.8,2
DEVICE001,2024-03-15 11:23:00,23.148859,89.533613,25.9,1,224.3,1
DEVICE001,2024-03-15 11:27:00,23.123895,89.538735,36.4,1,207.6,3
DEVICE001,2024-03-15 11:37:00,23.131394,89.543115,57.8,1,156.4,3
DEVICE001,2024-03-15 12:08:00,23.129861,89.535425,2.9,1,221.6,3
DEVICE001,2024-03-15 12:14:00,23.133247,89.53953,12.1,0,171.0,1
DEVICE001,2024-03-15 12:25:00,23.131309,89.540597,8.2,0,282.9,6
DEVICE001,2024-03-15 12:29:00,23.131377,89.537371,6.2,0,143.9,2
DEVICE001,2024-03-15 12:41:00,23.130469,89.539794,4.8,1,170.3,2
DEVICE001,2024-03-15 12:41:00,23.132015,89.537917,10.3,0,289.5,6
DEVICE001,2024-03-15 12:42:00,23.13587,89.54203,1.3,1,84.6,3
DEVICE001,2024-03-15 12:57:00,23.130879,89.53776,4.5,1,251.0,6
DEVICE001,2024-03-15 13:03:00,23.128303,89.540272,8.4,0,240.3,6
DEVICE001,2024-03-15 13:15:00,23.132407,89.53879,4.1,1,54.3,4
DEVICE001,2024-03-15 13:28:00,23.12859,89.540331,13.5,1,302.4,3
DEVICE001,2024-03-15 13:38:00,23.129343,89.537228,4.8,1,181.7,6
DEVICE001,2024-03-15 13:44:00,23.133648,89.540104,2.3,0,195.3,4
DEVICE001,2024-03-15 13:49:00,23.130645,89.538155,11.7,1,27.9,3
DEVICE001,2024-03-15 14:13:00,23.118595,89.550269,60.0,1,340.6,1
DEVICE001,2024-03-15 14:48:00,23.146535,89.527337,33.4,1,193.8,6
DEVICE001,2024-03-15 14:54:00,23.121644,89.534088,62.8,1,339.4,3
DEVICE001,2024-03-15 15:13:00,23.121014,89.556846,37.3,1,100.2,4
DEVICE001,2024-03-15 15:14:00,23.134598,89.525055,49.0,1,271.5,2
DEVICE001,2024-03-15 15:16:00,23.115426,89.542385,60.1,1,18.8,3
DEVICE001,2024-03-15 15:39:00,23.142929,89.53191,42.0,1,238.7,1
DEVICE001,2024-03-15 15:41:00,23.136009,89.534599,35.7,1,93.7,3
DEVICE001,2024-03-15 15:42:00,23.126812,89.542698,50.7,1,168.3,2
DEVICE001,2024-03-15 15:57:00,23.133809,89.549803,23.2,1,10.4,3
DEVICE001,2024-03-15 16:13:00,23.131389,89.548888,37.9,1,218.1,1
DEVICE001,2024-03-15 16:36:00,23.141473,89.536689,50.6,1,257.4,1
DEVICE001,2024-03-15 16:49:00,23.136432,89.538249,59.2,1,9.2,3
DEVICE001,2024-03-15 16:53:00,23.134756,89.543549,11.2,1,241.0,6
DEVICE001,2024-03-15 17:06:00,23.123571,89.548934,18.0,1,165.5,2
DEVICE001,2024-03-15 17:27:00,23.123147,89.538116,10.3,1,221.7,6
DEVICE001,2024-03-15 17:42:00,23.126288,89.539095,16.1,1,305.8,4
